279,AMERICO MARTINS DA COSTA
280,PARNAIBA
281,ALBERTINA
282,JOSE DE ALENCAR ROGEDO
283,REIS DE ALMEIDA
284,WALDOMIRO LOBO
285,DOUTOR BENEDITO XAVIER
286,JACAPA
287,JOANA ANGELICA
288,NOSSA SENHORA DA GLORIA
289,OSCAR LOBO PEREIRA
290,POUSO ALEGRE
291,ITAJUBA
292,VDT JORNALISTA OSWALDO FARIA
293,DOS ANDRADAS
294,DOS GUAICURUS
295,BUENO DO PRADO
296,BARAO DE LEOPOLDINA
297,FREI LUIZ DE SOUZA
298,RIBEIRO DE PAIVA
299,NOGUEIRA DE PAIVA
300,PADRE MANOEL BERNARDES
301,FREI MATEUS
302,ANTONIO GUERRA
303,TAMANDARE
304,MARIANO PROCOPIO
305,ALCIDES LOBO
306,VEREADOR CICERO ILDEFONSO
307,PRESIDENTE JUSCELINO KUBITSCHEK
308,CONDE PEREIRA CARNEIRO
309,RISOLETA NEVES
310,DA PEDREIRA
311,FURQUIM WERNECK
312,JOSE LINS DO REGO
313,LUCIA MIGUEL PEREIRA
314,MARECHAL HENRIQUE LOTT
315,EDEWELS BARCELOS
316,FRANCISCO VERNHAGEM
317,JOAO DORNAS FILHO
318,EDGARD CAVALEIRO
319,MANOEL BANDEIRA
320,LUCILIO DE ALBUQUERQUE
321,BASILIO DA GAMA
322,SARAMENHA
323,ANTONIO BANDEIRA
324,TUN PREFEITO SOUZA LIMA
325,PRESIDENTE JUSCELINO KUBITSCHECK MARGINAL DIREITA
326,PROFESSORA MARIA COUTINHO
327,CITRINA
328,VESTA
329,NOGUEIRA DA GAMA
330,WILSON CAMARGOS BATISTA
331,ACUDES
332,PURPURA
333,JUVENIL BARBOSA DA SILVA
334,JOAQUIM ALVES PEREIRA
335,JOSE DUTRA DE ARAUJO
336,ROSALINO SOARES
337,JOAO AVELINO PEREIRA
338,ADORINO FERREIRA
339,DELFIM VIEIRA COELHO
340,SEBASTIAO FERNANDES BRANDAO
341,NEVADA
342,EVANGELINA PRATES
343,ERNESTO PEREIRA
344,MARGARIDA ASSIS FONSECA
345,ROD PRESIDENTE JUSCELINO KUBITSCHEK
346,BARAO DE VARGINHA
347,FREI CONCEICAO VELOSO
348,HUGO DE CARVALHO RAMOS
349,EMILIO CARDOSO AIRES
350,DALMO FRANCA
351,JOSE CONDE
352,PINTOR DEBRET
353,JOAQUIM CARDOSO
354,JOSE DE ALMEIDA NEVES
355,JERONIMO FIRMINO MARTINS
356,FAZENDA VELHA
357,JOSE FURTADO SOBRINHO
358,PAU BRASIL
359,CAVIUNA
360,PAU FERRO
361,JOSEFINA GUIMARAES VIEIRA
362,INDIRA GANDHI
363,ARI BARROSO
364,IPE ROXO
365,LILAS
366,MARGINAL DA BR ANEL RODOVIARIO
367,EMERECIANA BATISTA CAMARGOS
368,ESTER BATISTA VIEIRA
369,BENJAMIM JOSE DOS SANTOS
370,VISCONDE DE MAUA
371,FRANCISCO TELES
372,FRANCISCO SALES
373,BERNARDO MONTEIRO
374,PROFESSOR ALFREDO BALENA
375,ALA EZEQUIEL DIAS
376,PINTOR AUGUSTO REZENDE
377,REVERENDO CICERO SIQUEIRA
378,OLEGARIO MARIANO
379,HELIO VIANA
380,MINISTRO OSVALDO ARANHA
381,EUTALIA ENGRACIA DE ALMEIDA
382,DOLORES DURAN
383,NELSON HUNGRIA
384,CACILDA BECKER
385,AGRIPINO GRIECO
386,ROD ANEL RODOVIARIO CELSO MELLO AZEVEDO
387,JOSE DOS SANTOS
388,ITUETA
389,AGUANIL
390,ANTONIO FERREIRA
391,CALIXTO
392,MODESTINA DE SOUZA
393,JANAUBA
394,QUEOPS
395,DAS PIRAMIDES
396,MIQUERINOS
397,MONSENHOR JOAO RODRIGUES
398,AVELINO FOSCOLO
399,MADRE GERTRUDES COMENSOLI
400,EPHIGENIO SALLES VICTOR
401,ALBERT SCHARLE
402,JAYME SALES
403,CAUE
404,GUILHERME PINTO DA FONSECA
405,FREI GASPAR
406,VISCONDE DE CAIRU
407,DOM CAVATI
408,MANHUARA
409,CAREACU
410,BELO ORIENTE
411,COLUNA PRESTES
412,BALDIM
413,MONSENHOR MESSIAS
414,MADRE DOS ANJOS
415,JACANA
416,DOMINGOS CALDAS
417,SIDERAL
418,SERENO
419,OSCAR TROMPOWSKY
420,BENTO
421,MARCELO DE ARAUJO BRAGA
422,VEREDA DO PARAISO
423,GASTAO DA CUNHA
424,VIEIRAS
425,PORTO CARRERO
426,CACHOEIRA DE MINAS
427,RAJA GABAGLIA
428,PROFESSOR BARONI
429,ANITA GARIBALDI
430,BERNARDINO DE CAMPOS
431,NASCIMENTO GURGEL
432,EDUARDO PRADO
433,BENJAMIM JACOB
434,CESAR CAMPOS
435,DOUTOR SETTE CAMARA
436,DA ASSEMBLEIA
437,MANOEL COUTO
438,PERDIGAO MALHEIROS
439,JOSE CAVALLINI
440,GENTIOS
441,IRAI
442,MIRANDA RIBEIRO
443,ALVARO SANTOS
444,MADRE CANDIDA
445,COSTA PINTO
446,CONDE DE LINHARES
447,DONATO DA FONSECA
448,OLIMPIO DE ASSIS
449,JOSAFA BELO
450,MARIA JOSE ASSUMPCAO
451,SACADURA CABRAL
452,TOMBADOR
453,REGIA
454,SANTAREM
455,DOS ANGELINS
456,PALMEIRA IMPERIAL
